Reaction_Descrp,Parameter,Values,Units
,T,600,K
,R,8.31446,JK^-1mol^-1
CH4,P1,5.00E-01,bar
O2,P2,5.00E-01,bar
H2,P3,1.00E-03,bar
CO,P4,3.00E-01,bar
H2O,P5,1.00E-12,bar
r1,k1f,2.13E-08,-
,k1r,5.92E-02,-
r2,k2f,8.54E-01,-
,k2r,2.20E+01,-
r3,k3f,9.61E-02,-
,k3r,7.53E+04,-
r4,k4f,1.18E+04,-
,k4r,1.56E+07,-
r5,k5f,4.83E+02,-
,k5r,3.25E-01,-
r6,k6f,3.44E+05,-
,k6r,4.63E+09,-
r7,k7f,1.13E+04,-
,k7r,6.93E-12,-
r8,k8f,2.19E+07,-
,k8r,1.08E+06,-
r9,k9f,3.03E+06,-
,k9r,2.69E-08,-
r10,k10f,3.46E+07,-
,k10r,1.14E+03,-
r11,k11f,7.77E+07,-
,k11r,3.13E+00,-