r\S,P_CO,P_O2,P_CO2,P_NO,P_NO2,P_H2O,P_H2,theta_CO,theta_O,theta_O2,theta_CO2,theta_NO,theta_NO2,theta_H2O,theta_H,theta_OH,theta_COOH,theta_H2,theta_*
r1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
r2,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
r3,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,-1
r4,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,1
r5,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0
r6,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
r7,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
r8,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,1
r9,0,0,0,0,0,0,0,0,1,-1,0,-1,1,0,0,0,0,0,0
r10,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1
r11,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1
r12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,-1
r13,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,1
r14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,-1
r15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,1
r16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1
r17,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,1
r18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-2,0,0,0